Process_ID,Interval,Layer,Height_mean,Layer_depth_min,Layer_depth_max,Ping_S,Ping_E,Ping_M,Dist_S,Dist_E,Dist_M,VL_start,VL_end,VL_mid,Date_S,Time_S,Date_E,Time_E,Date_M,Time_M,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,Exclude_below_line_depth_mean,Program_version,Processing_version,Processing_date,Processing_time,EV_filename,Standard_deviation,Kurtosis,Num_targets,TS_mean,Target_range_mean,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Beam_volume_sum,Wedge_volume_sampled,Target_length_mean,Grid_reference_line,Layer_top_to_reference_line_depth,Layer_top_to_reference_line_range,Layer_bottom_to_reference_line_depth,Layer_bottom_to_reference_line_range,Exclude_below_line_depth_min,Exclude_below_line_range_min,Exclude_below_line_depth_max,Exclude_below_line_range_max,Heave_source,Heave_min,Heave_max,Heave_mean
13007,0,1,3.963826,0.000000,5.000000,0,3,1,-0.000524,-0.000024,-0.000349,20.147000,20.147465,20.147130,20210226, 12:53:56.4470,20210226, 12:53:57.0470,20210226, 12:53:56.6570,999.00000000,999.00000000,999.00000000,999.00000000,999.00000000,999.00000000,-9999.000000,"12.1.27.43020",3,20220121, 17:10:09.2370,"I:\MyPassport\Shallow water data process\Vic processing_80threshold.EV",0.00000000000000,0.000000,1,-43.789354,20.326096,22.826762,-9999.000000,2.932396,167.948093,42.663086,-9.9e+37,"Surface (depth of zero)",0.000000,0.000000,5.000000,28.793852,-9999.000000,-9999.000000,-9999.000000,-9999.000000,"",0.000000,0.000000,0.000000
13007,1,1,3.174195,0.000000,5.000000,4,12502,6253,0.000142,2.464694,1.147095,20.147636,22.632128,21.302284,20210226, 12:53:57.2470,20210226, 13:43:10.6430,20210226, 13:18:53.2440,-2.58845707,32.88888451,-2.58213500,32.89208000,-2.58692568,32.89544061,3.492455,"12.1.27.43020",3,20220121, 17:10:09.2370,"I:\MyPassport\Shallow water data process\Vic processing_80threshold.EV",0.00001491283518,101.710275,12677,-50.316831,15.089916,18.279458,20.112246,2.652052,348448.138762,112678.286628,-9.9e+37,"Surface (depth of zero)",0.000000,0.000000,5.000000,28.793852,0.681712,3.925824,11.119912,64.037020,"",0.000000,0.000000,0.000000
13007,1,2,0.096897,5.000000,10.000000,4,12502,6253,0.000142,2.464694,1.147095,20.147636,22.632128,21.302284,20210226, 12:53:57.2470,20210226, 13:43:10.6430,20210226, 13:18:53.2440,-2.58845707,32.88888451,-2.58213500,32.89208000,-2.58692568,32.89544061,3.492455,"12.1.27.43020",3,20220121, 17:10:09.2370,"I:\MyPassport\Shallow water data process\Vic processing_80threshold.EV",0.00004671466976,5.836457,167,-43.582693,31.107324,0.558008,20.112246,5.654048,32013.206549,4751.161640,-9.9e+37,"Surface (depth of zero)",5.000000,28.793852,10.000000,57.587705,0.681712,3.925824,11.119912,64.037020,"",0.000000,0.000000,0.000000
