Process_ID,Interval,Layer,Height_mean,Layer_depth_min,Layer_depth_max,Ping_S,Ping_E,Ping_M,Dist_S,Dist_E,Dist_M,VL_start,VL_end,VL_mid,Date_S,Time_S,Date_E,Time_E,Date_M,Time_M,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,Exclude_below_line_depth_mean,Program_version,Processing_version,Processing_date,Processing_time,EV_filename,Standard_deviation,Kurtosis,Num_targets,TS_mean,Target_range_mean,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Beam_volume_sum,Wedge_volume_sampled,Target_length_mean,Grid_reference_line,Layer_top_to_reference_line_depth,Layer_top_to_reference_line_range,Layer_bottom_to_reference_line_depth,Layer_bottom_to_reference_line_range,Exclude_below_line_depth_min,Exclude_below_line_range_min,Exclude_below_line_depth_max,Exclude_below_line_range_max,Heave_source,Heave_min,Heave_max,Heave_mean
13082,1,1,4.124514,0.000000,5.000000,0,23868,11934,0.000166,4.769390,2.351040,14.067000,20.382560,17.592181,20191111, 07:14:09.1630,20191111, 09:37:52.4760,20191111, 08:25:45.4760,-2.38015333,32.97809557,999.00000000,999.00000000,-2.37085803,32.97487236,12.849200,"12.1.27.43020",3,20220121, 18:39:49.6040,"I:\MyPassport\Shallow water data process\Vic processing_80threshold.EV",0.00003403548457,8.021903,129,-46.840612,3.622782,4.124514,12.849200,3.620719,8138.607312,12783.408388,-9.9e+37,"Surface (depth of zero)",0.000000,0.000000,5.000000,5.000000,2.198042,2.198042,18.198463,18.198463,"",0.000000,0.000000,0.000000
13082,1,2,4.034063,5.000000,10.000000,0,23868,11934,0.000166,4.769390,2.351040,14.067000,20.382560,17.592181,20191111, 07:14:09.1630,20191111, 09:37:52.4760,20191111, 08:25:45.4760,-2.38015333,32.97809557,999.00000000,999.00000000,-2.37085803,32.97487236,12.849200,"12.1.27.43020",3,20220121, 18:39:49.6040,"I:\MyPassport\Shallow water data process\Vic processing_80threshold.EV",0.00027440895838,142.311928,1059,-41.552412,7.968914,4.034063,12.849200,7.964151,46021.389434,31995.993123,-9.9e+37,"Surface (depth of zero)",5.000000,5.000000,10.000000,10.000000,2.198042,2.198042,18.198463,18.198463,"",0.000000,0.000000,0.000000
13082,1,3,3.073570,10.000000,15.000000,0,23868,11934,0.000166,4.769390,2.351040,14.067000,20.382560,17.592181,20191111, 07:14:09.1630,20191111, 09:37:52.4760,20191111, 08:25:45.4760,-2.38015333,32.97809557,999.00000000,999.00000000,-2.37085803,32.97487236,12.849200,"12.1.27.43020",3,20220121, 18:39:49.6040,"I:\MyPassport\Shallow water data process\Vic processing_80threshold.EV",0.00031435469073,94.705773,3989,-40.395445,13.191965,3.073570,12.849200,13.183940,97061.625762,41054.444524,-9.9e+37,"Surface (depth of zero)",10.000000,10.000000,15.000000,15.000000,2.198042,2.198042,18.198463,18.198463,"",0.000000,0.000000,0.000000
13082,1,4,1.050680,15.000000,20.000000,0,23868,11934,0.000166,4.769390,2.351040,14.067000,20.382560,17.592181,20191111, 07:14:09.1630,20191111, 09:37:52.4760,20191111, 08:25:45.4760,-2.38015333,32.97809557,999.00000000,999.00000000,-2.37085803,32.97487236,12.849200,"12.1.27.43020",3,20220121, 18:39:49.6040,"I:\MyPassport\Shallow water data process\Vic processing_80threshold.EV",0.00023671986996,300.378384,5013,-42.466639,16.296042,1.050680,12.849200,16.286381,46316.242629,15190.629291,-9.9e+37,"Surface (depth of zero)",15.000000,15.000000,20.000000,20.000000,2.198042,2.198042,18.198463,18.198463,"",0.000000,0.000000,0.000000
