Process_ID,Interval,Layer,Height_mean,Layer_depth_min,Layer_depth_max,Ping_S,Ping_E,Ping_M,Dist_S,Dist_E,Dist_M,VL_start,VL_end,VL_mid,Date_S,Time_S,Date_E,Time_E,Date_M,Time_M,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,Exclude_below_line_depth_mean,Program_version,Processing_version,Processing_date,Processing_time,EV_filename,Standard_deviation,Kurtosis,Num_targets,TS_mean,Target_range_mean,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Beam_volume_sum,Wedge_volume_sampled,Target_length_mean,Grid_reference_line,Layer_top_to_reference_line_depth,Layer_top_to_reference_line_range,Layer_bottom_to_reference_line_depth,Layer_bottom_to_reference_line_range,Exclude_below_line_depth_min,Exclude_below_line_range_min,Exclude_below_line_depth_max,Exclude_below_line_range_max,Heave_source,Heave_min,Heave_max,Heave_mean
13106,1,1,4.175408,0.000000,5.000000,0,16691,8345,0.000039,5.113386,1.454016,0.638000,5.733787,2.087178,20191115, 08:40:40.5730,20191115, 10:18:39.2840,20191115, 09:08:30.6800,-2.36390396,32.00842653,-2.36411500,32.01466807,-2.37085471,32.01341040,13.371269,"12.1.27.43020",3,20220121, 19:47:57.2820,"I:\MyPassport\Shallow water data process\Vic processing_80threshold.EV",0.00005027640782,5.247844,229,-44.143865,3.598486,4.175408,13.371269,3.596552,5826.395414,13957.784719,-9.9e+37,"Surface (depth of zero)",0.000000,0.000000,5.000000,5.000000,3.059751,3.059751,17.695335,17.695335,"",0.000000,0.000000,0.000000
13106,1,2,4.706030,5.000000,10.000000,0,16691,8345,0.000039,5.113386,1.454016,0.638000,5.733787,2.087178,20191115, 08:40:40.5730,20191115, 10:18:39.2840,20191115, 09:08:30.6800,-2.36390396,32.00842653,-2.36411500,32.01466807,-2.37085471,32.01341040,13.371269,"12.1.27.43020",3,20220121, 19:47:57.2820,"I:\MyPassport\Shallow water data process\Vic processing_80threshold.EV",0.00019564268812,19.002381,432,-39.365416,7.191238,4.706030,13.371269,7.186977,38670.032270,40633.945840,-9.9e+37,"Surface (depth of zero)",5.000000,5.000000,10.000000,10.000000,3.059751,3.059751,17.695335,17.695335,"",0.000000,0.000000,0.000000
13106,1,3,3.610483,10.000000,15.000000,0,16691,8345,0.000039,5.113386,1.454016,0.638000,5.733787,2.087178,20191115, 08:40:40.5730,20191115, 10:18:39.2840,20191115, 09:08:30.6800,-2.36390396,32.00842653,-2.36411500,32.01466807,-2.37085471,32.01341040,13.371269,"12.1.27.43020",3,20220121, 19:47:57.2820,"I:\MyPassport\Shallow water data process\Vic processing_80threshold.EV",0.00154803999453,16.859793,368,-32.431893,12.684395,3.610483,13.371269,12.677148,77881.718588,51123.637603,-9.9e+37,"Surface (depth of zero)",10.000000,10.000000,15.000000,15.000000,3.059751,3.059751,17.695335,17.695335,"",0.000000,0.000000,0.000000
13106,1,4,0.165579,15.000000,20.000000,0,16691,8345,0.000039,5.113386,1.454016,0.638000,5.733787,2.087178,20191115, 08:40:40.5730,20191115, 10:18:39.2840,20191115, 09:08:30.6800,-2.36390396,32.00842653,-2.36411500,32.01466807,-2.37085471,32.01341040,13.371269,"12.1.27.43020",3,20220121, 19:47:57.2820,"I:\MyPassport\Shallow water data process\Vic processing_80threshold.EV",0.00294036506890,1.055798,104,-24.872576,15.454136,0.165579,13.371269,15.447678,5656.513848,2955.027610,-9.9e+37,"Surface (depth of zero)",15.000000,15.000000,20.000000,20.000000,3.059751,3.059751,17.695335,17.695335,"",0.000000,0.000000,0.000000
