Process_ID,Interval,Layer,Height_mean,Layer_depth_min,Layer_depth_max,Ping_S,Ping_E,Ping_M,Dist_S,Dist_E,Dist_M,VL_start,VL_end,VL_mid,Date_S,Time_S,Date_E,Time_E,Date_M,Time_M,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,Exclude_below_line_depth_mean,Program_version,Processing_version,Processing_date,Processing_time,EV_filename,Standard_deviation,Kurtosis,Num_targets,TS_mean,Target_range_mean,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Beam_volume_sum,Wedge_volume_sampled,Target_length_mean,Grid_reference_line,Layer_top_to_reference_line_depth,Layer_top_to_reference_line_range,Layer_bottom_to_reference_line_depth,Layer_bottom_to_reference_line_range,Exclude_below_line_depth_min,Exclude_below_line_range_min,Exclude_below_line_depth_max,Exclude_below_line_range_max,Heave_source,Heave_min,Heave_max,Heave_mean
13061,1,1,3.431242,0.000000,5.000000,0,11986,5993,0.000056,2.558887,1.352433,0.168000,2.736112,1.523995,20200724, 12:46:31.4440,20200724, 13:36:32.0730,20200724, 13:12:02.1560,-2.34543380,32.40702252,-2.33776667,32.40494484,-2.34334254,32.40254514,3.587635,"12.1.27.43020",3,20220121, 18:05:49.9470,"I:\MyPassport\Shallow water data process\Vic processing_80threshold.EV",0.00022216528481,20.722380,1807,-40.475537,17.697825,19.759734,20.660369,3.135337,434791.275396,139605.962349,-9.9e+37,"Surface (depth of zero)",0.000000,0.000000,5.000000,28.793852,1.021349,5.881717,16.976050,97.761177,"",0.000000,0.000000,0.000000
13061,1,2,0.801014,5.000000,10.000000,0,11986,5993,0.000056,2.558887,1.352433,0.168000,2.736112,1.523995,20200724, 12:46:31.4440,20200724, 13:36:32.0730,20200724, 13:12:02.1560,-2.34543380,32.40702252,-2.33776667,32.40494484,-2.34334254,32.40254514,3.587635,"12.1.27.43020",3,20220121, 18:05:49.9470,"I:\MyPassport\Shallow water data process\Vic processing_80threshold.EV",0.00054365863381,2.298051,896,-33.706030,39.610862,4.612854,20.660369,7.267684,421457.679598,61959.658574,-9.9e+37,"Surface (depth of zero)",5.000000,28.793852,10.000000,57.587705,1.021349,5.881717,16.976050,97.761177,"",0.000000,0.000000,0.000000
13061,1,3,0.101042,10.000000,15.000000,0,11986,5993,0.000056,2.558887,1.352433,0.168000,2.736112,1.523995,20200724, 12:46:31.4440,20200724, 13:36:32.0730,20200724, 13:12:02.1560,-2.34543380,32.40702252,-2.33776667,32.40494484,-2.34334254,32.40254514,3.587635,"12.1.27.43020",3,20220121, 18:05:49.9470,"I:\MyPassport\Shallow water data process\Vic processing_80threshold.EV",0.00049978046842,-0.682536,38,-30.573630,58.502575,0.581877,20.660369,10.614577,17827.643562,1489.947066,-9.9e+37,"Surface (depth of zero)",10.000000,57.587705,15.000000,86.381557,1.021349,5.881717,16.976050,97.761177,"",0.000000,0.000000,0.000000
