Process_ID,Interval,Layer,Height_mean,Layer_depth_min,Layer_depth_max,Ping_S,Ping_E,Ping_M,Dist_S,Dist_E,Dist_M,VL_start,VL_end,VL_mid,Date_S,Time_S,Date_E,Time_E,Date_M,Time_M,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,Exclude_below_line_depth_mean,Program_version,Processing_version,Processing_date,Processing_time,EV_filename,Standard_deviation,Kurtosis,Num_targets,TS_mean,Target_range_mean,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Beam_volume_sum,Wedge_volume_sampled,Target_length_mean,Grid_reference_line,Layer_top_to_reference_line_depth,Layer_top_to_reference_line_range,Layer_bottom_to_reference_line_depth,Layer_bottom_to_reference_line_range,Exclude_below_line_depth_min,Exclude_below_line_range_min,Exclude_below_line_depth_max,Exclude_below_line_range_max,Heave_source,Heave_min,Heave_max,Heave_mean
12983,1,1,4.633620,0.000000,5.000000,1,2237,1119,0.000846,3.134753,1.814245,3.368469,6.486932,5.173855,20210301, 09:13:17.4530,20210301, 10:09:02.0400,20210301, 09:46:21.6400,-2.37906427,33.07398919,-2.38682539,33.08201128,-2.38350866,33.07817312,7.378491,"12.1.27.43020",3,20220121, 16:24:12.9840,"I:\MyPassport\Shallow water data process\Vic processing_80threshold.EV",0.00018539007243,38.973871,925,-41.793709,19.532060,26.683954,42.491036,3.442220,146672.003020,269906.678846,-9.9e+37,"Surface (depth of zero)",0.000000,0.000000,5.000000,28.793852,3.237857,18.646073,16.088735,92.651335,"",0.000000,0.000000,0.000000
12983,1,2,1.522087,5.000000,10.000000,1,2237,1119,0.000846,3.134753,1.814245,3.368469,6.486932,5.173855,20210301, 09:13:17.4530,20210301, 10:09:02.0400,20210301, 09:46:21.6400,-2.37906427,33.07398919,-2.38682539,33.08201128,-2.38350866,33.07817312,7.378491,"12.1.27.43020",3,20220121, 16:24:12.9840,"I:\MyPassport\Shallow water data process\Vic processing_80threshold.EV",0.00022232283725,11.411206,1073,-37.305457,36.405910,8.765347,42.491036,6.987278,224458.183629,209218.050064,-9.9e+37,"Surface (depth of zero)",5.000000,28.793852,10.000000,57.587705,3.237857,18.646073,16.088735,92.651335,"",0.000000,0.000000,0.000000
12983,1,3,0.860146,10.000000,15.000000,1,2237,1119,0.000846,3.134753,1.814245,3.368469,6.486932,5.173855,20210301, 09:13:17.4530,20210301, 10:09:02.0400,20210301, 09:46:21.6400,-2.37906427,33.07398919,-2.38682539,33.08201128,-2.38350866,33.07817312,7.378491,"12.1.27.43020",3,20220121, 16:24:12.9840,"I:\MyPassport\Shallow water data process\Vic processing_80threshold.EV",0.00010507544100,5.393322,80,-38.939211,63.497871,4.953382,42.491036,12.971059,36698.530374,19714.756012,-9.9e+37,"Surface (depth of zero)",10.000000,57.587705,15.000000,86.381557,3.237857,18.646073,16.088735,92.651335,"",0.000000,0.000000,0.000000
