Process_ID,Interval,Layer,Height_mean,Layer_depth_min,Layer_depth_max,Ping_S,Ping_E,Ping_M,Dist_S,Dist_E,Dist_M,VL_start,VL_end,VL_mid,Date_S,Time_S,Date_E,Time_E,Date_M,Time_M,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,Exclude_below_line_depth_mean,Program_version,Processing_version,Processing_date,Processing_time,EV_filename,Standard_deviation,Kurtosis,Num_targets,TS_mean,Target_range_mean,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Beam_volume_sum,Wedge_volume_sampled,Target_length_mean,Grid_reference_line,Layer_top_to_reference_line_depth,Layer_top_to_reference_line_range,Layer_bottom_to_reference_line_depth,Layer_bottom_to_reference_line_range,Exclude_below_line_depth_min,Exclude_below_line_range_min,Exclude_below_line_depth_max,Exclude_below_line_range_max,Heave_source,Heave_min,Heave_max,Heave_mean
13031,1,1,4.317226,0.000000,5.000000,0,15858,7929,0.000465,3.027483,1.477387,22.897000,25.855198,24.331003,20200728, 09:33:22.4950,20200728, 10:32:50.0910,20200728, 10:01:39.2950,-2.37764216,32.97866202,-2.38410540,32.97372754,-2.37872199,32.97268569,6.053629,"12.1.27.43020",3,20220121, 17:36:52.9890,"I:\MyPassport\Shallow water data process\Vic processing_80threshold.EV",0.00007178816639,87.716120,2242,-43.530077,20.683890,24.861916,34.861462,3.705195,929407.460183,239575.089069,-9.9e+37,"Surface (depth of zero)",0.000000,0.000000,5.000000,28.793852,0.565886,3.258806,15.056913,86.709304,"",0.000000,0.000000,0.000000
13031,1,2,2.449675,5.000000,10.000000,0,15858,7929,0.000465,3.027483,1.477387,22.897000,25.855198,24.331003,20200728, 09:33:22.4950,20200728, 10:32:50.0910,20200728, 10:01:39.2950,-2.37764216,32.97866202,-2.38410540,32.97372754,-2.37872199,32.97268569,6.053629,"12.1.27.43020",3,20220121, 17:36:52.9890,"I:\MyPassport\Shallow water data process\Vic processing_80threshold.EV",0.00014365992723,195.309618,8533,-39.706120,42.989051,14.107119,34.861462,7.995787,2822343.686143,334519.824912,-9.9e+37,"Surface (depth of zero)",5.000000,28.793852,10.000000,57.587705,0.565886,3.258806,15.056913,86.709304,"",0.000000,0.000000,0.000000
13031,1,3,0.221363,10.000000,15.000000,0,15858,7929,0.000465,3.027483,1.477387,22.897000,25.855198,24.331003,20200728, 09:33:22.4950,20200728, 10:32:50.0910,20200728, 10:01:39.2950,-2.37764216,32.97866202,-2.38410540,32.97372754,-2.37872199,32.97268569,6.053629,"12.1.27.43020",3,20220121, 17:36:52.9890,"I:\MyPassport\Shallow water data process\Vic processing_80threshold.EV",0.00012540573055,1.967703,967,-37.380346,63.898407,1.274777,34.861462,12.476317,311074.074686,24059.450739,-9.9e+37,"Surface (depth of zero)",10.000000,57.587705,15.000000,86.381557,0.565886,3.258806,15.056913,86.709304,"",0.000000,0.000000,0.000000
