Process_ID,Interval,Layer,Height_mean,Layer_depth_min,Layer_depth_max,Ping_S,Ping_E,Ping_M,Dist_S,Dist_E,Dist_M,VL_start,VL_end,VL_mid,Date_S,Time_S,Date_E,Time_E,Date_M,Time_M,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,Exclude_below_line_depth_mean,Program_version,Processing_version,Processing_date,Processing_time,EV_filename,Standard_deviation,Kurtosis,Num_targets,TS_mean,Target_range_mean,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Beam_volume_sum,Wedge_volume_sampled,Target_length_mean,Grid_reference_line,Layer_top_to_reference_line_depth,Layer_top_to_reference_line_range,Layer_bottom_to_reference_line_depth,Layer_bottom_to_reference_line_range,Exclude_below_line_depth_min,Exclude_below_line_range_min,Exclude_below_line_depth_max,Exclude_below_line_range_max,Heave_source,Heave_min,Heave_max,Heave_mean
13019,1,1,3.730115,0.000000,5.000000,0,14431,7215,0.000418,2.452229,1.191659,8.162000,10.615815,9.344664,20200730, 11:59:44.5930,20200730, 12:48:05.5930,20200730, 12:23:48.3970,-1.88716447,33.02169587,-1.87604390,33.01914277,-1.87925550,33.02033127,5.237333,"12.1.27.43020",3,20220121, 17:21:49.0710,"I:\MyPassport\Shallow water data process\Vic processing_80threshold.EV",0.00001669677180,667.774456,3760,-51.145562,17.835526,21.480874,30.160599,3.169674,655255.085225,156780.770417,-9.9e+37,"Surface (depth of zero)",0.000000,0.000000,5.000000,28.793852,0.799993,4.606977,11.851514,68.250149,"",0.000000,0.000000,0.000000
13019,1,2,1.823842,5.000000,10.000000,0,14431,7215,0.000418,2.452229,1.191659,8.162000,10.615815,9.344664,20200730, 11:59:44.5930,20200730, 12:48:05.5930,20200730, 12:23:48.3970,-1.88716447,33.02169587,-1.87604390,33.01914277,-1.87925550,33.02033127,5.237333,"12.1.27.43020",3,20220121, 17:21:49.0710,"I:\MyPassport\Shallow water data process\Vic processing_80threshold.EV",0.00006309755364,47.521528,3084,-44.835043,36.896301,10.503090,30.160599,6.712779,1436261.978972,157232.628435,-9.9e+37,"Surface (depth of zero)",5.000000,28.793852,10.000000,57.587705,0.799993,4.606977,11.851514,68.250149,"",0.000000,0.000000,0.000000
13019,1,3,0.074873,10.000000,15.000000,0,14431,7215,0.000418,2.452229,1.191659,8.162000,10.615815,9.344664,20200730, 11:59:44.5930,20200730, 12:48:05.5930,20200730, 12:23:48.3970,-1.88716447,33.02169587,-1.87604390,33.01914277,-1.87925550,33.02033127,5.237333,"12.1.27.43020",3,20220121, 17:21:49.0710,"I:\MyPassport\Shallow water data process\Vic processing_80threshold.EV",0.00000000000000,0.000000,1,-47.929648,57.603676,0.431175,30.160599,12.236871,68156.677773,4775.282495,-9.9e+37,"Surface (depth of zero)",10.000000,57.587705,15.000000,86.381557,0.799993,4.606977,11.851514,68.250149,"",0.000000,0.000000,0.000000
