Process_ID,Interval,Layer,Height_mean,Layer_depth_min,Layer_depth_max,Ping_S,Ping_E,Ping_M,Dist_S,Dist_E,Dist_M,VL_start,VL_end,VL_mid,Date_S,Time_S,Date_E,Time_E,Date_M,Time_M,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,Exclude_below_line_depth_mean,Program_version,Processing_version,Processing_date,Processing_time,EV_filename,Standard_deviation,Kurtosis,Num_targets,TS_mean,Target_range_mean,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Beam_volume_sum,Wedge_volume_sampled,Target_length_mean,Grid_reference_line,Layer_top_to_reference_line_depth,Layer_top_to_reference_line_range,Layer_bottom_to_reference_line_depth,Layer_bottom_to_reference_line_range,Exclude_below_line_depth_min,Exclude_below_line_range_min,Exclude_below_line_depth_max,Exclude_below_line_range_max,Heave_source,Heave_min,Heave_max,Heave_mean
12950,1,1,4.056952,0.000000,5.000000,0,16771,8385,0.000686,3.050850,1.519473,12.582000,15.624565,14.095771,20210303, 08:25:34.6070,20210303, 09:21:31.0070,20210303, 08:53:32.2070,-1.87878048,33.00943201,999.00000000,999.00000000,-1.87920475,33.01426175,10.971517,"12.1.27.43020",3,20220121, 15:35:58.1450,"I:\MyPassport\Shallow water data process\Vic processing_80threshold.EV",0.00014050861492,18.641879,287,-41.002676,3.884182,4.056952,10.971517,3.882229,5545.975868,7535.803794,-9.9e+37,"Surface (depth of zero)",0.000000,0.000000,5.000000,5.000000,2.905521,2.905521,19.369978,19.369978,"",0.000000,0.000000,0.000000
12950,1,2,3.599936,5.000000,10.000000,0,16771,8385,0.000686,3.050850,1.519473,12.582000,15.624565,14.095771,20210303, 08:25:34.6070,20210303, 09:21:31.0070,20210303, 08:53:32.2070,-1.87878048,33.00943201,999.00000000,999.00000000,-1.87920475,33.01426175,10.971517,"12.1.27.43020",3,20220121, 15:35:58.1450,"I:\MyPassport\Shallow water data process\Vic processing_80threshold.EV",0.00020936664706,99.266594,1165,-40.683539,7.658927,3.599936,10.971517,7.654906,28835.254599,17235.094553,-9.9e+37,"Surface (depth of zero)",5.000000,5.000000,10.000000,10.000000,2.905521,2.905521,19.369978,19.369978,"",0.000000,0.000000,0.000000
12950,1,3,2.175553,10.000000,15.000000,0,16771,8385,0.000686,3.050850,1.519473,12.582000,15.624565,14.095771,20210303, 08:25:34.6070,20210303, 09:21:31.0070,20210303, 08:53:32.2070,-1.87878048,33.00943201,999.00000000,999.00000000,-1.87920475,33.01426175,10.971517,"12.1.27.43020",3,20220121, 15:35:58.1450,"I:\MyPassport\Shallow water data process\Vic processing_80threshold.EV",0.00056607584292,112.770433,1083,-38.760091,12.307491,2.175553,10.971517,12.300864,46221.489663,17173.593199,-9.9e+37,"Surface (depth of zero)",10.000000,10.000000,15.000000,15.000000,2.905521,2.905521,19.369978,19.369978,"",0.000000,0.000000,0.000000
12950,1,4,0.423985,15.000000,20.000000,0,16771,8385,0.000686,3.050850,1.519473,12.582000,15.624565,14.095771,20210303, 08:25:34.6070,20210303, 09:21:31.0070,20210303, 08:53:32.2070,-1.87878048,33.00943201,999.00000000,999.00000000,-1.87920475,33.01426175,10.971517,"12.1.27.43020",3,20220121, 15:35:58.1450,"I:\MyPassport\Shallow water data process\Vic processing_80threshold.EV",0.00036297633581,61.068025,344,-40.709427,16.505611,0.423985,10.971517,16.496137,13989.362917,3970.824617,-9.9e+37,"Surface (depth of zero)",15.000000,15.000000,20.000000,20.000000,2.905521,2.905521,19.369978,19.369978,"",0.000000,0.000000,0.000000
